No.,保険会社,保険商品,保険料,保険期間---払込期間,特　徴,付加済
1,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕,"3,404円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",
2,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"3,756円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",P免
3,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"4,170円","70歳満了
70歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年",
4,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"4,290円","70歳満了
70歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
5,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"4,350円","70歳満了
70歳満了","※非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
6,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"4,468円","70歳満了
70歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率",
7,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"4,579円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※非喫煙者健康体保険料率",
8,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"4,620円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
9,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"4,720円","70歳
70歳満了","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
10,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"5,062円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅰ型付加
※非喫煙者健康体保険料率",P免
11,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"5,090円","70歳満了
70歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
12,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体・P免あり）,"5,090円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
