No.,保険会社,保険商品,保険料,保険期間---払込期間,特　徴,付加済
1,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"1,848円","60歳
60歳払","年金月額：10万円
年金支払保証期間：2年
※非喫煙者健康体保険料率",
2,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"1,923円","60歳
60歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅰ型付加
※非喫煙者健康体保険料率",P免
3,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"1,939円","60歳
60歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅱ型付加
※非喫煙者健康体保険料率",P免
4,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"1,958円","60歳
60歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅲ型付加
※非喫煙者健康体保険料率",P免
5,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"1,960円","60歳満了
60歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年",
6,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"1,962円","60歳満了
60歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率",
7,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"2,070円","60歳
60歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
8,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"2,098円","60歳満了
60歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率
＊３大疾病保険料払込免除特約あり
上皮内がんでも、以後の保険料はいただきません。",P免
9,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,160円","60歳満了
60歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
10,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体・P免あり）,"2,170円","60歳
60歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
11,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率　特定疾病保険料払込免除ワイド特則,"2,190円","60歳満了
60歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年
【特定疾病保険料払込免除ワイド特則適用】",P免
12,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,220円","60歳満了
60歳満了","※非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
13,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"2,330円","60歳満了
60歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
14,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体）,"2,340円","60歳
60歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
15,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"2,380円","60歳満了
60歳満了","※非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
16,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体・P免あり）,"2,440円","60歳
60歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
17,メットライフ生命保険株式会社,マイディアレスト(非喫煙保険料率　確定保証期間2年),"2,450円","60歳
60歳満了","※この商品は基本コース(Ⅰ型)です
遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
