No.,保険会社,保険商品,保険料,保険期間---払込期間,特　徴,付加済
1,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕,"3,253円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",
2,FWD富士生命保険株式会社,FWD収入保障〔非喫煙者優良体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"3,569円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
最低支払保証期間：2年",P免
3,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率,"4,050円","70歳満了
70歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年",
4,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"4,160円","70歳満了
70歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
5,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"4,210円","70歳満了
70歳満了","※非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
6,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年,"4,295円","70歳満了
70歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率",
7,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体),"4,313円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※非喫煙者健康体保険料率",
8,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体）,"4,450円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
9,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"4,660円","70歳
70歳満了","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
10,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"4,725円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅰ型付加
※非喫煙者健康体保険料率",P免
11,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"4,820円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅱ型付加
※非喫煙者健康体保険料率",P免
12,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者優良体),"4,850円","70歳満了
70歳満了","※SD非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
13,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者健康体・P免あり）,"4,900円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
14,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者優良体),"4,920円","70歳満了
70歳満了","※非喫煙者優良体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
15,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・非喫煙者健康体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"4,946円","70歳
70歳払","年金月額：10万円
年金支払保証期間：2年
※特定疾病保険料払込免除特約(2018)Ⅲ型付加
※非喫煙者健康体保険料率",P免
16,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体）,"4,980円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
17,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者優良体料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"5,001円","70歳満了
70歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者優良体料率
＊３大疾病保険料払込免除特約あり
上皮内がんでも、以後の保険料はいただきません。",P免
18,メットライフ生命保険株式会社,マイディアレスト(非喫煙保険料率　確定保証期間2年),"5,120円","70歳
70歳満了","※この商品は基本コース(Ⅰ型)です
遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
19,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"5,150円","70歳満了
70歳満了","※SD非喫煙者標準体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
20,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障 非喫煙者健康体保険料率　特定疾病保険料払込免除ワイド特則,"5,160円","70歳満了
70歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年
【特定疾病保険料払込免除ワイド特則適用】",P免
21,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(非喫煙者標準体),"5,220円","70歳満了
70歳満了","※非喫煙者標準体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
22,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"5,270円","70歳
70歳満了","※優良体保険料率
遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
23,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"5,387円","70歳
70歳満了","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
24,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年逓減払込・非喫煙者健康体・P免あり）,"5,430円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
25,メディケア生命保険（住友生命グループ）,メディフィット収入保障　非喫煙者標準体料率　年金支払保証期間2年,"5,498円","70歳満了
70歳満了","収入保障年金：月額10万円
高度障害年金：月額10万円
年金支払保証期間：2年
＊非喫煙者標準体料率",
26,損保ジャパン日本興亜ひまわり生命保険株式会社,リンククロス じぶんと家族のお守り（最低保証2年・非喫煙者標準体）,"5,610円","70歳
70歳","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
27,アクサダイレクト生命保険株式会社,アクサダイレクトの収入保障２ 年金支払保証期間２年,"5,690円","70歳満了
70歳満了","死亡年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
28,ソニー生命保険,家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"5,710円","70歳
70歳満了","遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
29,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"5,810円","70歳
70歳満了","※非喫煙者保険料率
遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",
30,Ｔ＆Ｄフィナンシャル生命,家計にやさしい収入保障,"5,810円","70歳満了
70歳満了","遺族年金（高度障害年金）：月額10万円
確定保証期間：2年",
31,アフラック,GIFT（非喫煙保険料率/支払保証期間2年） 三大疾病保険料払込免除特約なし,"5,940円","70歳
70歳払済","家族生活保障月払年金：月額10万円
高度障害月払年金：月額10万円
確定保証期間：2年",
32,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"5,980円","70歳
70歳満了","※優良体保険料率　特定疾病保険料払込免除
遺族年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
33,三井住友海上あいおい生命保険（株）,新収入保障(Ⅰ型)(最低支払保証期間2年)(SD非喫煙者標準体),"6,010円","70歳満了
70歳満了","※SD非喫煙者標準体保険料率
収入保障年金：月額10万円
高度障害年金：月額10万円
確定保証期間：2年",P免
